global_step,episode,episode_return,episode_length,epsilon,loss
162,1,1.0,162,0.998461,nan
441,2,3.0,279,0.9958105,nan
647,3,2.0,206,0.9938535,nan
814,4,1.0,167,0.992267,nan
958,5,0.0,144,0.990899,nan
1097,6,0.0,139,0.9895785,nan
1299,7,2.0,202,0.9876595,nan
1452,8,1.0,153,0.986206,nan
1587,9,0.0,135,0.9849235,nan
1776,10,2.0,189,0.983128,nan
2006,11,2.0,230,0.980943,nan
2372,12,5.0,366,0.977466,nan
2614,13,3.0,242,0.975167,nan
2748,14,0.0,134,0.973894,nan
2896,15,0.0,148,0.972488,nan
3075,16,1.0,179,0.9707875,nan
3262,17,1.0,187,0.969011,nan
3390,18,0.0,128,0.967795,nan
3515,19,0.0,125,0.9666075,nan
3739,20,2.0,224,0.9644795,nan
3936,21,2.0,197,0.962608,nan
4122,22,2.0,186,0.9608410000000001,nan
4268,23,0.0,146,0.959454,nan
4455,24,1.0,187,0.9576775,nan
4593,25,0.0,138,0.9563665,nan
4789,26,1.0,196,0.9545045,nan
4920,27,0.0,131,0.95326,nan
5338,28,9.0,418,0.949289,nan
5618,29,3.0,280,0.946629,nan
5835,30,2.0,217,0.9445675,nan
6023,31,1.0,188,0.9427815,nan
6205,32,1.0,182,0.9410525,nan
6354,33,0.0,149,0.9396370000000001,nan
6608,34,3.0,254,0.9372240000000001,nan
6763,35,0.0,155,0.9357515000000001,nan
6923,36,1.0,160,0.9342315,nan
7063,37,0.0,140,0.9329015,nan
7192,38,0.0,129,0.931676,nan
7325,39,0.0,133,0.9304125,nan
7493,40,1.0,168,0.9288165,nan
7656,41,1.0,163,0.927268,nan
7847,42,1.0,191,0.9254535,nan
8098,43,3.0,251,0.923069,nan
8312,44,2.0,214,0.921036,nan
8440,45,0.0,128,0.91982,nan
8575,46,0.0,135,0.9185375,nan
8786,47,2.0,211,0.916533,nan
8972,48,1.0,186,0.914766,nan
9202,49,2.0,230,0.912581,nan
9392,50,1.0,190,0.910776,nan
9730,51,4.0,338,0.907565,nan
9863,52,0.0,133,0.9063015,nan
10116,53,3.0,253,0.903898,7.777549035381526e-05
10381,54,3.0,265,0.9013805,1.488256748416461e-05
10522,55,0.0,141,0.900041,0.0005195413250476122
10781,56,3.0,259,0.8975805,0.00013835771824233234
11043,57,3.0,262,0.8950915,5.694741048500873e-06
11255,58,2.0,212,0.8930775,1.20294134831056e-05
11466,59,2.0,211,0.891073,4.1809893446043134e-05
11608,60,0.0,142,0.889724,3.486522700768546e-06
11822,61,2.0,214,0.887691,0.015665309503674507
11956,62,0.0,134,0.886418,0.00010174952330999076
12194,63,3.0,238,0.884157,2.190613122365903e-05
12383,64,1.0,189,0.8823615,4.741070733871311e-05
12585,65,2.0,202,0.8804425,8.105779670586344e-06
12745,66,0.0,160,0.8789225,0.015475261956453323
12951,67,2.0,206,0.8769655000000001,0.007781519554555416
13145,68,2.0,194,0.8751225,6.557046435773373e-05
13320,69,1.0,175,0.87346,0.0076288143172860146
13557,70,2.0,237,0.8712085,0.007815239019691944
13719,71,1.0,162,0.8696695,6.961211511224974e-06
13909,72,2.0,190,0.8678645,0.00011625006300164387
14113,73,2.0,204,0.8659265,7.238757098093629e-05
14241,74,0.0,128,0.8647104999999999,5.38570893695578e-05
14412,75,1.0,171,0.863086,0.007682166062295437
14554,76,0.0,142,0.861737,4.770763189299032e-05
14680,77,0.0,126,0.86054,7.48649617889896e-05
14963,78,4.0,283,0.8578515,1.4317128261609469e-05
15131,79,1.0,168,0.8562555000000001,5.3434665460372344e-05
15273,80,0.0,142,0.8549065,1.542291465739254e-05
15458,81,1.0,185,0.853149,3.3674505175440572e-06
15633,82,1.0,175,0.8514865,0.022843588143587112
15813,83,1.0,180,0.8497765,0.015225409530103207
16005,84,1.0,192,0.8479525,1.3979588402435184e-05
16196,85,1.0,191,0.8461380000000001,0.05469823628664017
16332,86,0.0,136,0.844846,9.560611943015829e-06
16518,87,1.0,186,0.843079,1.3324081010068767e-05
16863,88,5.0,345,0.8398015,0.007740485481917858
17024,89,1.0,161,0.838272,3.656176704680547e-05
17185,90,1.0,161,0.8367425,0.007738963235169649
17442,91,3.0,257,0.834301,4.690896093961783e-05
17643,92,2.0,201,0.8323915,2.5092762371059507e-05
17782,93,0.0,139,0.831071,0.0076730744913220406
17916,94,0.0,134,0.829798,0.007831727154552937
18197,95,3.0,281,0.8271285,2.875151767511852e-05
18328,96,0.0,131,0.8258840000000001,7.862315396778286e-05
18481,97,0.0,153,0.8244305000000001,0.007772499695420265
18625,98,0.0,144,0.8230625,1.52902866830118e-05
18888,99,3.0,263,0.8205640000000001,0.00016822738689370453
19110,100,2.0,222,0.818455,0.007763281464576721
19249,101,0.0,139,0.8171345,0.00015054612595122308
19482,102,2.0,233,0.814921,5.7595683756517246e-05
19619,103,0.0,137,0.8136194999999999,8.506094309268519e-05
19805,104,2.0,186,0.8118525,0.00011312344577163458
20048,105,2.0,243,0.809544,0.00015639085904695094
20213,106,1.0,165,0.8079765,0.00011768029071390629
20341,107,0.0,128,0.8067605,0.007058636285364628
20554,108,2.0,213,0.804737,0.00015895180695224553
20782,109,2.0,228,0.802571,0.007424067240208387
20916,110,0.0,134,0.8012980000000001,0.006599353160709143
21047,111,0.0,131,0.8000535,0.0005328308325260878
21315,112,3.0,268,0.7975075,0.000692347006406635
21450,113,0.0,135,0.796225,0.004165010526776314
21584,114,0.0,134,0.794952,0.0005472999764606357
21730,115,0.0,146,0.7935650000000001,0.0028731287457048893
21861,116,0.0,131,0.7923205,0.004961036611348391
22121,117,3.0,260,0.7898505,0.0005804835236631334
22303,118,1.0,182,0.7881215,0.00021881205611862242
22534,119,2.0,231,0.785927,0.007880965247750282
22714,120,1.0,180,0.7842169999999999,0.0002781870134640485
22844,121,0.0,130,0.7829820000000001,0.001985944574698806
22991,122,0.0,147,0.7815855,0.0006378897232934833
23128,123,0.0,137,0.780284,0.012917084619402885
23302,124,1.0,174,0.7786310000000001,0.001687605632469058
23440,125,0.0,138,0.77732,0.00011492698104120791
23592,126,1.0,152,0.775876,0.0001553440379211679
23860,127,4.0,268,0.7733300000000001,0.0003994524013251066
24137,128,3.0,277,0.7706985,0.0018467034678906202
24272,129,0.0,135,0.769416,0.00019649023306556046
24406,130,0.0,134,0.768143,0.0010295123793184757
24592,131,1.0,186,0.766376,0.0012636403553187847
24843,132,2.0,251,0.7639914999999999,0.00011477229418233037
25101,133,3.0,258,0.7615405,0.002794830594211817
25237,134,0.0,136,0.7602485,0.0028899225872009993
25486,135,2.0,249,0.7578830000000001,0.00024348894658032805
25662,136,1.0,176,0.756211,0.008387479931116104
25791,137,0.0,129,0.7549855000000001,0.0026704701595008373
25936,138,0.0,145,0.7536080000000001,0.0034279185347259045
26206,139,3.0,270,0.751043,0.0029525894206017256
26369,140,1.0,163,0.7494945,0.0008316803723573685
26652,141,3.0,283,0.7468060000000001,0.0001572062901686877
26797,142,0.0,145,0.7454285,9.889765351545066e-05
26939,143,0.0,142,0.7440795,0.009246204979717731
27098,144,1.0,159,0.742569,0.003228261834010482
27239,145,0.0,141,0.7412295,0.0016536024631932378
27374,146,0.0,135,0.739947,0.0018528045620769262
27586,147,2.0,212,0.737933,0.0005594114772975445
27718,148,0.0,132,0.7366790000000001,0.0015133277047425508
27842,149,0.0,124,0.735501,0.00384944467805326
27988,150,0.0,146,0.7341139999999999,0.0010429248213768005
28261,151,4.0,273,0.7315205,0.006209534127265215
28399,152,0.0,138,0.7302095,0.005246894434094429
28561,153,1.0,162,0.7286705,0.000495334854349494
28698,154,0.0,137,0.7273689999999999,0.0006794183282181621
28836,155,0.0,138,0.726058,0.000853405159432441
28966,156,0.0,130,0.724823,0.0011422073002904654
29167,157,1.0,201,0.7229135,0.001376625499688089
29408,158,2.0,241,0.7206239999999999,0.003079621819779277
29583,159,1.0,175,0.7189615,0.001555625000037253
29892,160,4.0,309,0.716026,0.0005389032885432243
30029,161,0.0,137,0.7147245,0.0004666383611038327
30245,162,2.0,216,0.7126725,0.0005078946705907583
30400,163,0.0,155,0.7112,0.005233284085988998
30547,164,0.0,147,0.7098035,0.0003217575722374022
30810,165,3.0,263,0.7073050000000001,0.0011786295799538493
30942,166,0.0,132,0.706051,0.0005160210421308875
31117,167,1.0,175,0.7043885000000001,0.004215339198708534
31376,168,3.0,259,0.7019280000000001,0.0005627459031529725
31590,169,2.0,214,0.6998949999999999,0.001102775800973177
31861,170,3.0,271,0.6973205,0.00032020703656598926
31996,171,0.0,135,0.6960379999999999,0.008275753818452358
32184,172,1.0,188,0.694252,0.0019114940660074353
32342,173,0.0,158,0.692751,0.003556168172508478
32595,174,3.0,253,0.6903475,0.0008893978083506227
32857,175,3.0,262,0.6878585,0.0005582701996900141
33079,176,1.0,222,0.6857495,0.0024424733128398657
33280,177,2.0,201,0.68384,0.0019733074586838484
33484,178,1.0,204,0.681902,0.0010020728223025799
33724,179,3.0,240,0.679622,0.0007738014683127403
33867,180,0.0,143,0.6782634999999999,0.005263554397970438
34114,181,3.0,247,0.675917,0.0023420238867402077
34321,182,1.0,207,0.6739505,0.0011608669301494956
34454,183,0.0,133,0.672687,0.0008119856938719749
34658,184,2.0,204,0.670749,0.0007966991979628801
34951,185,4.0,293,0.6679655,0.001978621818125248
35125,186,1.0,174,0.6663125000000001,0.0008235350251197815
35273,187,0.0,148,0.6649065000000001,0.0018146230140700936
35405,188,0.0,132,0.6636525,0.0034854107070714235
35602,189,1.0,197,0.661781,0.009002563543617725
35762,190,0.0,160,0.660261,0.0012291872408241034
35891,191,0.0,129,0.6590355,0.0010481677018105984
36041,192,0.0,150,0.6576105,0.0009935417911037803
36230,193,1.0,189,0.655815,0.0020592096261680126
36404,194,1.0,174,0.654162,0.0033707395195961
36612,195,2.0,208,0.6521859999999999,0.0012233820743858814
36788,196,1.0,176,0.650514,0.000558363797608763
36930,197,0.0,142,0.649165,0.0005105515592731535
37107,198,1.0,177,0.6474835,0.0013143541291356087
37267,199,0.0,160,0.6459635,0.0008241469040513039
37454,200,1.0,187,0.6441870000000001,0.0011101807467639446
37692,201,3.0,238,0.641926,0.001090924022719264
37971,202,3.0,279,0.6392755000000001,0.0004655070952139795
38228,203,3.0,257,0.636834,0.0014842601958662271
38535,204,3.0,307,0.6339174999999999,0.0014306723605841398
38762,205,2.0,227,0.631761,0.0008510125917382538
38964,206,2.0,202,0.629842,0.0015300627565011382
39123,207,1.0,159,0.6283315,0.0015612929128110409
39338,208,2.0,215,0.626289,0.0010304426541551948
39474,209,0.0,136,0.624997,0.0009996227454394102
39605,210,0.0,131,0.6237524999999999,0.0009602165664546192
39738,211,0.0,133,0.6224890000000001,0.000188792881090194
39892,212,1.0,154,0.6210260000000001,0.0009019512217491865
40069,213,1.0,177,0.6193445,0.0017243274487555027
40229,214,0.0,160,0.6178245,0.00234427722170949
40486,215,3.0,257,0.615383,0.001357097877189517
40662,216,1.0,176,0.6137110000000001,0.0007766893832013011
40850,217,1.0,188,0.611925,0.00940186157822609
41248,218,9.0,398,0.608144,0.0009554983698762953
41507,219,3.0,259,0.6056835,0.008233265951275826
41733,220,2.0,226,0.6035365,0.0027187862433493137
41941,221,2.0,208,0.6015604999999999,0.0010387331712991
42080,222,0.0,139,0.60024,0.003019463736563921
42331,223,3.0,251,0.5978555,0.0031320746056735516
42548,224,2.0,217,0.5957939999999999,0.00201226444914937
42758,225,1.0,210,0.593799,0.002366623841226101
42925,226,0.0,167,0.5922125,0.0010734291281551123
43097,227,1.0,172,0.5905785,0.004395994357764721
43466,228,5.0,369,0.587073,0.007400240283459425
43631,229,0.0,165,0.5855055,0.0003612788568716496
43776,230,0.0,145,0.584128,0.007844679988920689
44090,231,5.0,314,0.581145,0.0019587171263992786
44267,232,0.0,177,0.5794635,0.0006864315364509821
44571,233,4.0,304,0.5765755,0.0006022721063345671
44841,234,3.0,270,0.5740105,0.0005159590509720147
45120,235,3.0,279,0.5713600000000001,0.000592390657402575
45288,236,0.0,168,0.5697639999999999,0.005019237753003836
45640,237,5.0,352,0.56642,0.0008258076850324869
45986,238,4.0,346,0.5631330000000001,0.0007151953177526593
46130,239,0.0,144,0.5617650000000001,0.0005144066526554525
46406,240,3.0,276,0.5591430000000001,0.0014584874734282494
46589,241,1.0,183,0.5574045,0.001627493416890502
46833,242,2.0,244,0.5550865,0.003157540690153837
47035,243,1.0,202,0.5531675,0.0009154434083029628
47321,244,3.0,286,0.5504505,0.000516862899530679
47667,245,4.0,346,0.5471635,0.0005111178033985198
47838,246,0.0,171,0.545539,0.0014272411353886127
48008,247,0.0,170,0.5439240000000001,0.001176683115772903
48181,248,0.0,173,0.5422804999999999,0.0005992721416987479
48454,249,3.0,273,0.539687,0.0012433161027729511
48625,250,0.0,171,0.5380625,0.0012508132494986057
48786,251,0.0,161,0.5365329999999999,0.00779797974973917
48967,252,1.0,181,0.5348135,0.0013893714640289545
49092,253,0.0,125,0.5336259999999999,0.0008137464756146073
49332,254,2.0,240,0.5313460000000001,0.0006389698246493936
49492,255,0.0,160,0.529826,0.0015967146027833223
49721,256,2.0,229,0.5276505,0.002894893754273653
49933,257,2.0,212,0.5256365000000001,0.002277178457006812
50080,258,0.0,147,0.52424,0.0022997884079813957
50331,259,2.0,251,0.5218555,0.0010386857902631164
50492,260,0.0,161,0.5203260000000001,0.0005609806394204497
50626,261,0.0,134,0.519053,0.0012541709002107382
50841,262,2.0,215,0.5170105,0.0024348334409296513
50974,263,0.0,133,0.5157470000000001,0.0004474547749850899
51206,264,2.0,232,0.5135430000000001,0.002221127273514867
51381,265,1.0,175,0.5118805,0.0011932642664760351
51549,266,0.0,168,0.5102845,0.0006914522382430732
51793,267,2.0,244,0.5079665,0.0021826974116265774
52068,268,3.0,275,0.505354,0.001204293454065919
52512,269,5.0,444,0.501136,0.00043261435348540545
52660,270,0.0,148,0.4997300000000001,0.004540672991424799
52798,271,0.0,138,0.49841900000000006,0.0010590526508167386
53009,272,2.0,211,0.4964145000000001,0.0011560734128579497
53312,273,4.0,303,0.493536,0.0028755415696650743
53524,274,2.0,212,0.491522,0.00041824637446552515
53704,275,0.0,180,0.489812,0.00048474251525476575
53880,276,0.0,176,0.48814000000000013,0.001055513508617878
54011,277,0.0,131,0.48689550000000004,0.0047036041505634785
54260,278,2.0,249,0.48453,0.00032426361576654017
54409,279,0.0,149,0.4831145000000001,0.002032322809100151
54562,280,0.0,153,0.481661,0.0005011361208744347
54902,281,4.0,340,0.47843100000000005,0.003123851725831628
55142,282,2.0,240,0.476151,0.0011802222579717636
55515,283,5.0,373,0.47260749999999996,0.0010041530476883054
55811,284,4.0,296,0.46979550000000003,0.0007666612509638071
56078,285,3.0,267,0.4672590000000001,0.0012302584946155548
56389,286,4.0,311,0.4643045,0.0011695821303874254
56910,287,10.0,521,0.45935499999999996,0.006603253539651632
57042,288,0.0,132,0.458101,0.0014326238306239247
57213,289,0.0,171,0.45647649999999995,0.004791403189301491
57371,290,0.0,158,0.4549755,0.0014222478494048119
57537,291,1.0,166,0.4533984999999999,0.0009319654782302678
57822,292,3.0,285,0.45069100000000006,0.005866135936230421
58045,293,2.0,223,0.44857250000000004,0.0010269803460687399
58220,294,0.0,175,0.44691000000000003,0.0009363526478409767
58409,295,0.0,189,0.4451145000000001,0.0011617322452366352
58725,296,4.0,316,0.4421125,0.000689350301399827
59122,297,6.0,397,0.4383410000000001,0.001125497743487358
59252,298,0.0,130,0.437106,0.001257619820535183
59547,299,4.0,295,0.43430349999999995,0.0005430078017525375
59812,300,3.0,265,0.431786,0.000972441746853292
60103,301,4.0,291,0.42902150000000006,0.001819785451516509
60293,302,1.0,190,0.4272165000000001,0.0017712917178869247
60418,303,0.0,125,0.426029,0.0026115193031728268
60655,304,2.0,237,0.42377750000000003,0.0007720901048742235
60876,305,2.0,221,0.4216780000000001,0.0006495725829154253
61004,306,0.0,128,0.420462,0.0010080377105623484
61351,307,5.0,347,0.4171655000000001,0.000974213529843837
61482,308,0.0,131,0.415921,0.0012651670258492231
61655,309,1.0,173,0.41427749999999997,0.0007265637395903468
61873,310,2.0,218,0.41220650000000003,0.0009519866434857249
62019,311,0.0,146,0.4108195,0.0010853181593120098
